moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,rating,seed
195,49,27,10,13,4,0.2040816326530612,1743701435436
88,17,10,10,8,0,0.5882352941176471,1743701452648
122,26,19,10,12,2,0.3846153846153846,1743702312423
105,24,14,9,7,1,0.375,1743702146417
186,30,22,9,17,2,0.3,1743701469527
188,31,25,9,21,4,0.2903225806451613,1743702129842
122,26,19,9,11,3,0.3461538461538461,1743701469856
111,21,15,9,7,2,0.4285714285714285,1743701607790
243,39,23,9,12,4,0.2307692307692307,1743702172844
95,29,17,9,11,3,0.3103448275862069,1743702203635
151,28,22,9,14,3,0.3214285714285714,1743702851960
182,30,17,9,11,0,0.3,1743702846926
139,38,25,9,17,1,0.2368421052631578,1743702434564
186,44,25,9,14,2,0.2045454545454545,1743702331910
178,31,21,9,10,1,0.2903225806451613,1743702118003
126,28,19,9,14,2,0.3214285714285714,1743702207201
163,38,25,8,18,2,0.2105263157894736,1743701570248
82,21,17,8,12,2,0.3809523809523809,1743701492903
156,27,16,8,9,2,0.2962962962962963,1743702043237
116,35,22,8,16,3,0.2285714285714285,1743702034940
166,28,20,8,17,2,0.2857142857142857,1743702331629
139,20,12,8,10,2,0.4,1743702632665
138,35,20,8,11,3,0.2285714285714285,1743702846667
148,32,19,8,10,5,0.25,1743702851361
135,20,13,7,9,3,0.35,1743702300126
90,17,9,7,6,2,0.4117647058823529,1743702139635
94,16,12,7,6,3,0.4375,1743701861732
143,23,16,7,11,4,0.3043478260869565,1743701661956
138,37,14,7,11,2,0.1891891891891892,1743701399657
188,27,24,7,18,1,0.2592592592592592,1743701792915
110,20,14,7,6,2,0.35,1743701688612
100,23,16,7,10,0,0.3043478260869565,1743701450260
153,39,20,7,13,2,0.1794871794871795,1743702872574
112,25,16,7,10,2,0.28,1743702454456
159,36,28,7,23,4,0.1944444444444444,1743702872009
137,21,14,7,8,2,0.3333333333333333,1743702434849
143,24,17,7,14,2,0.2916666666666667,1743702178979
105,25,17,7,13,2,0.28,1743702264851
169,27,20,7,13,0,0.2592592592592592,1743702301598
102,20,12,7,9,4,0.35,1743702307493
200,30,22,7,14,2,0.2333333333333333,1743702311628
154,33,20,7,12,2,0.2121212121212121,1743702182656
158,26,13,6,8,4,0.2307692307692307,1743701963341
91,19,12,6,7,2,0.3157894736842105,1743702140771
96,17,14,6,8,4,0.3529411764705882,1743702895034
161,41,19,6,11,1,0.1463414634146341,1743702872297
100,23,12,6,9,1,0.2608695652173913,1743702820309
93,22,15,6,11,1,0.2727272727272727,1743702310637
85,18,14,6,12,3,0.3333333333333333,1743701764562
140,29,20,6,15,4,0.2068965517241379,1743701398014
139,24,20,6,15,3,0.25,1743702520910
119,18,14,6,8,2,0.3333333333333333,1743701625921
206,27,21,6,11,4,0.2222222222222222,1743701460195
280,44,31,6,21,2,0.1363636363636363,1743701625638
47,10,8,6,6,1,0.6,1743701725407
95,28,18,6,11,2,0.2142857142857142,1743701481241
159,25,17,5,13,1,0.2,1743701448706
89,23,15,5,6,4,0.217391304347826,1743701400622
126,27,18,5,14,2,0.1851851851851851,1743701398425
133,23,15,5,11,1,0.217391304347826,1743701953236
120,19,13,5,7,1,0.2631578947368421,1743702454123
124,20,14,5,8,1,0.25,1743701763954
142,26,19,5,9,1,0.1923076923076923,1743701457817
73,19,10,5,5,2,0.2631578947368421,1743701463319
66,13,9,5,3,2,0.3846153846153846,1743702207468
181,21,15,5,10,3,0.238095238095238,1743702857610
122,24,15,4,7,4,0.1666666666666666,1743702855926
90,22,15,4,14,1,0.1818181818181818,1743702311180
144,27,21,4,15,3,0.1481481481481481,1743702299553
107,23,17,4,11,0,0.1739130434782608,1743702851625
166,29,20,4,14,2,0.1379310344827586,1743702599001
100,23,17,4,10,1,0.1739130434782608,1743702265128
114,20,15,4,10,2,0.2,1743701745624
81,16,13,4,8,3,0.25,1743702300401
87,16,12,4,6,5,0.25,1743701474091
112,16,13,4,8,3,0.25,1743701755919
94,16,12,3,9,4,0.1875,1743701570544
235,27,17,3,12,1,0.1111111111111111,1743701460493
63,13,9,3,5,4,0.2307692307692307,1743701799203
59,17,10,3,5,2,0.1764705882352941,1743701492079
89,14,12,3,8,1,0.2142857142857142,1743702252600
105,17,15,3,10,2,0.1764705882352941,1743701987913
155,24,14,3,11,3,0.125,1743702453866
122,31,13,3,8,1,0.0967741935483871,1743702521159
122,21,16,3,12,1,0.1428571428571428,1743702820573
105,26,14,3,8,0,0.1153846153846153,1743701876556
105,17,13,3,10,1,0.1764705882352941,1743701951502
218,22,19,3,12,0,0.1363636363636363,1743701950719
54,13,8,2,3,1,0.1538461538461538,1743701492602
122,17,12,2,9,1,0.1176470588235294,1743701798245
68,14,9,2,6,3,0.1428571428571428,1743701621953
178,22,14,2,7,2,0.0909090909090909,1743701492325
76,12,9,2,4,0,0.1666666666666666,1743702537015
130,24,18,2,13,0,0.0833333333333333,1743702316881
80,13,11,1,8,2,0.0769230769230769,1743701465387
166,19,13,1,8,0,0.0526315789473684,1743702873162
