=== 3x6 ===
MOVES: 55 | PUSHES: 11 | DIR PUSHES: 10 | REV PUSHES: 3 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 37 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 52 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 0
MOVES: 23 | PUSHES: 10 | DIR PUSHES: 5 | REV PUSHES: 4 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 45 | PUSHES: 12 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 30 | PUSHES: 9 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 0
MOVES: 50 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 43 | PUSHES: 13 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 30 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 3
MOVES: 47 | PUSHES: 13 | DIR PUSHES: 11 | REV PUSHES: 3 | BOX CHANGES: 9 | CORNER GOALS: 2
MOVES: 63 | PUSHES: 16 | DIR PUSHES: 10 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 35 | PUSHES: 12 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 59 | PUSHES: 16 | DIR PUSHES: 9 | REV PUSHES: 5 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 41 | PUSHES: 10 | DIR PUSHES: 6 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 19 | PUSHES: 5 | DIR PUSHES: 3 | REV PUSHES: 0 | BOX CHANGES: 1 | CORNER GOALS: 2
MOVES: 58 | PUSHES: 19 | DIR PUSHES: 16 | REV PUSHES: 2 | BOX CHANGES: 13 | CORNER GOALS: 2
MOVES: 48 | PUSHES: 8 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 49 | PUSHES: 13 | DIR PUSHES: 10 | REV PUSHES: 2 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 70 | PUSHES: 14 | DIR PUSHES: 9 | REV PUSHES: 6 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 32 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 64 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 19 | PUSHES: 8 | DIR PUSHES: 4 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 0
MOVES: 62 | PUSHES: 13 | DIR PUSHES: 10 | REV PUSHES: 4 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 99 | PUSHES: 13 | DIR PUSHES: 10 | REV PUSHES: 5 | BOX CHANGES: 9 | CORNER GOALS: 1
MOVES: 26 | PUSHES: 6 | DIR PUSHES: 4 | REV PUSHES: 0 | BOX CHANGES: 1 | CORNER GOALS: 2
MOVES: 40 | PUSHES: 12 | DIR PUSHES: 9 | REV PUSHES: 2 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 44 | PUSHES: 10 | DIR PUSHES: 8 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 51 | PUSHES: 13 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 56 | PUSHES: 14 | DIR PUSHES: 10 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 47 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 29 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 1 | BOX CHANGES: 7 | CORNER GOALS: 3
MOVES: 54 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 39 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 31 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 56 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 0
MOVES: 67 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 4 | BOX CHANGES: 3 | CORNER GOALS: 1
=== 6x9 ===
MOVES: 69 | PUSHES: 13 | DIR PUSHES: 9 | REV PUSHES: 8 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 70 | PUSHES: 21 | DIR PUSHES: 13 | REV PUSHES: 8 | BOX CHANGES: 9 | CORNER GOALS: 2
MOVES: 60 | PUSHES: 10 | DIR PUSHES: 6 | REV PUSHES: 4 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 35 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 5 | BOX CHANGES: 4 | CORNER GOALS: 0
MOVES: 35 | PUSHES: 6 | DIR PUSHES: 4 | REV PUSHES: 3 | BOX CHANGES: 1 | CORNER GOALS: 2
MOVES: 69 | PUSHES: 17 | DIR PUSHES: 10 | REV PUSHES: 9 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 58 | PUSHES: 17 | DIR PUSHES: 9 | REV PUSHES: 6 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 54 | PUSHES: 12 | DIR PUSHES: 10 | REV PUSHES: 6 | BOX CHANGES: 6 | CORNER GOALS: 0
MOVES: 52 | PUSHES: 14 | DIR PUSHES: 10 | REV PUSHES: 7 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 57 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 75 | PUSHES: 15 | DIR PUSHES: 10 | REV PUSHES: 4 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 44 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 5 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 49 | PUSHES: 15 | DIR PUSHES: 7 | REV PUSHES: 9 | BOX CHANGES: 2 | CORNER GOALS: 0
MOVES: 35 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 72 | PUSHES: 13 | DIR PUSHES: 11 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 3
MOVES: 91 | PUSHES: 14 | DIR PUSHES: 7 | REV PUSHES: 8 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 63 | PUSHES: 13 | DIR PUSHES: 11 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 56 | PUSHES: 10 | DIR PUSHES: 8 | REV PUSHES: 6 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 26 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 3
MOVES: 76 | PUSHES: 16 | DIR PUSHES: 10 | REV PUSHES: 8 | BOX CHANGES: 5 | CORNER GOALS: 0
MOVES: 57 | PUSHES: 13 | DIR PUSHES: 10 | REV PUSHES: 5 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 83 | PUSHES: 22 | DIR PUSHES: 12 | REV PUSHES: 5 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 35 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 33 | PUSHES: 10 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 76 | PUSHES: 23 | DIR PUSHES: 14 | REV PUSHES: 7 | BOX CHANGES: 8 | CORNER GOALS: 2
MOVES: 63 | PUSHES: 14 | DIR PUSHES: 10 | REV PUSHES: 11 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 43 | PUSHES: 11 | DIR PUSHES: 5 | REV PUSHES: 5 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 54 | PUSHES: 12 | DIR PUSHES: 9 | REV PUSHES: 7 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 50 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 0 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 134 | PUSHES: 35 | DIR PUSHES: 21 | REV PUSHES: 15 | BOX CHANGES: 13 | CORNER GOALS: 1
MOVES: 41 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 0
MOVES: 26 | PUSHES: 12 | DIR PUSHES: 5 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 53 | PUSHES: 13 | DIR PUSHES: 9 | REV PUSHES: 6 | BOX CHANGES: 5 | CORNER GOALS: 1
