MOVES: 43 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 0 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 32 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 39 | PUSHES: 14 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 76 | PUSHES: 18 | DIR PUSHES: 11 | REV PUSHES: 6 | BOX CHANGES: 8 | CORNER GOALS: 3
MOVES: 57 | PUSHES: 12 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 95 | PUSHES: 20 | DIR PUSHES: 15 | REV PUSHES: 6 | BOX CHANGES: 12 | CORNER GOALS: 1
MOVES: 43 | PUSHES: 10 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 3
MOVES: 51 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 61 | PUSHES: 13 | DIR PUSHES: 10 | REV PUSHES: 3 | BOX CHANGES: 8 | CORNER GOALS: 1
MOVES: 62 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 31 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 43 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 45 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 4 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 28 | PUSHES: 11 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 66 | PUSHES: 15 | DIR PUSHES: 9 | REV PUSHES: 6 | BOX CHANGES: 3 | CORNER GOALS: 1
MOVES: 32 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 29 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 48 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 3
MOVES: 39 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 44 | PUSHES: 10 | DIR PUSHES: 9 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 43 | PUSHES: 11 | DIR PUSHES: 9 | REV PUSHES: 1 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 33 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 3 | CORNER GOALS: 3
MOVES: 43 | PUSHES: 8 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 45 | PUSHES: 12 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 47 | PUSHES: 12 | DIR PUSHES: 11 | REV PUSHES: 4 | BOX CHANGES: 8 | CORNER GOALS: 2
MOVES: 47 | PUSHES: 14 | DIR PUSHES: 9 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 72 | PUSHES: 13 | DIR PUSHES: 13 | REV PUSHES: 3 | BOX CHANGES: 11 | CORNER GOALS: 1
MOVES: 28 | PUSHES: 8 | DIR PUSHES: 5 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 0
MOVES: 29 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 69 | PUSHES: 13 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 40 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 0 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 33 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 64 | PUSHES: 15 | DIR PUSHES: 10 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 22 | PUSHES: 8 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 68 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 93 | PUSHES: 20 | DIR PUSHES: 17 | REV PUSHES: 4 | BOX CHANGES: 12 | CORNER GOALS: 2
MOVES: 36 | PUSHES: 9 | DIR PUSHES: 5 | REV PUSHES: 0 | BOX CHANGES: 1 | CORNER GOALS: 0
MOVES: 42 | PUSHES: 11 | DIR PUSHES: 9 | REV PUSHES: 2 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 35 | PUSHES: 8 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 3 | CORNER GOALS: 3
MOVES: 69 | PUSHES: 18 | DIR PUSHES: 12 | REV PUSHES: 7 | BOX CHANGES: 8 | CORNER GOALS: 1
MOVES: 33 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 4 | BOX CHANGES: 6 | CORNER GOALS: 0
MOVES: 35 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 41 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 37 | PUSHES: 13 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 2
